#wavelength (micron)	Absolute Flux Density (erg / (cm2 micron s))	Uncertainty (erg / (cm2 micron s))
1.0425100326538086	7.707273187718133e-12	5.915125160516066e-14
1.0464999675750732	7.868736044691627e-12	5.900833343003634e-14
1.050510048866272	7.992250090904651e-12	3.0843129292983454e-14
1.0545300245285034	7.951975015962898e-12	5.247375206877611e-14
1.0585500001907349	7.986580147223421e-12	6.810392907171531e-14
1.0625900030136108	8.278939166161958e-12	4.722221217030344e-14
1.066640019416809	8.498811029933329e-12	9.894451387772521e-14
1.0707000494003296	8.926922569207907e-12	6.551114766764274e-14
1.0747599601745605	9.222858587953908e-12	8.155766508107995e-14
1.0788400173187256	9.483290021317092e-12	7.86752322903643e-14
1.0829299688339233	9.747085083500195e-12	6.778866340874726e-14
1.087030053138733	1.0168166655888378e-11	1.5415796352120925e-13
1.0911400318145752	1.0194855376566281e-11	5.4193371253237477e-14
1.0952500104904175	1.009797800932688e-11	9.605631448670465e-14
1.0993800163269043	9.963564695514293e-12	5.973192318368958e-14
1.1035100221633911	9.868644096355794e-12	1.1613584714135344e-13
1.1076500415802002	9.655760566107396e-12	5.1308109372478e-14
1.111799955368042	9.541367695931058e-12	6.611459426805744e-14
1.1159600019454956	9.689936353307615e-12	6.144089008180628e-14
1.120129942893982	9.797771101383024e-12	6.500438479595944e-14
1.1243000030517578	9.928763540500984e-12	8.511030422098109e-14
1.1284799575805664	9.977250796378012e-12	6.566804527452855e-14
1.1326700448989868	9.41813554228288e-12	7.916058894540459e-14
1.13687002658844	9.243006533765641e-12	8.960795430321133e-14
1.141070008277893	9.324827368595301e-12	6.838927075472276e-14
1.1452800035476685	9.875193544839345e-12	8.624065274843301e-14
1.1494899988174438	1.0413436606071524e-11	1.237080099816823e-13
1.1537100076675415	1.07866684334601e-11	9.390089346274916e-14
1.1579400300979614	1.0769366301510708e-11	1.202679855661845e-13
1.1621700525283813	1.0331810060271174e-11	8.401378280131072e-14
1.166409969329834	1.0121929336359692e-11	3.893730837430977e-14
1.1706600189208984	9.689799310153013e-12	4.615061384807308e-14
1.1749099493026733	9.61955255035507e-12	8.507638224550945e-14
1.1791599988937378	9.945479335915497e-12	8.690999173588052e-14
1.183419942855835	1.0334645465792658e-11	7.942522236691757e-14
1.1876800060272217	1.0637883803010784e-11	3.605096906764138e-14
1.1919499635696411	1.0286940570203296e-11	4.5104426514260346e-14
1.19622004032135	9.953495493097986e-12	4.1869495880347135e-14
1.2005000114440918	9.85574035577974e-12	6.068543156054554e-14
1.2047799825668335	1.0118995918961815e-11	7.376095719456577e-14
1.2090599536895752	1.0556941605621706e-11	7.340542019715346e-14
1.2133500576019287	1.1175931707851916e-11	1.1203108482137764e-13
1.2176400423049927	1.1559525038562501e-11	1.027452591322725e-13
1.2219300270080566	1.210402524737253e-11	1.4903360392570092e-13
1.2262300252914429	1.240687327180856e-11	7.934721402060724e-14
1.230530023574829	1.2403060349608364e-11	6.589112664778102e-14
1.2348300218582153	1.204038691665632e-11	6.186749653162502e-14
1.2391300201416016	1.1511723865820223e-11	4.170721792018037e-14
1.24344003200531	1.1407320400780296e-11	3.235707193719253e-14
1.2477500438690186	1.1362645199741728e-11	9.361945490756265e-14
1.252060055732727	1.2078315778096815e-11	4.048595565243375e-14
1.256369948387146	1.2656540746003309e-11	1.1499308449902657e-13
1.2606799602508545	1.3467425959146073e-11	6.158126715808884e-14
1.264989972114563	1.3891197220283757e-11	4.566476591392338e-14
1.2693099975585938	1.4136564314981559e-11	7.034722468175075e-14
1.2736300230026245	1.4455932111079317e-11	1.4716452069549885e-13
1.277940034866333	1.4320247244958839e-11	7.975709665191538e-14
1.2822599411010742	1.4099808126610824e-11	6.478472543581387e-14
1.286579966545105	1.4104988878271829e-11	8.185894453602294e-14
1.2908999919891357	1.402130928723766e-11	6.677542226845093e-14
1.2952100038528442	1.4050441365931476e-11	6.357607040645419e-14
1.299530029296875	1.4036462096800317e-11	8.457949238985935e-14
1.3038500547409058	1.388503895194404e-11	5.146813422500507e-14
1.308169960975647	1.3878781804366191e-11	8.431857913705071e-14
1.3124799728393555	1.401925710936558e-11	6.019430830520034e-14
1.3167999982833862	1.4123856598158291e-11	9.837361367127581e-14
1.321120023727417	1.3870863659060095e-11	7.923420627291636e-14
1.3254300355911255	1.3093998108004712e-11	1.3477396011273707e-13
1.329740047454834	1.1307609362742888e-11	2.2752370191884974e-13
1.3340599536895752	9.450806456867689e-12	1.8887299222444115e-13
1.3383699655532837	7.859341649707474e-12	1.0844637362596166e-13
1.3426799774169922	7.023675911710381e-12	1.5445319177277705e-13
1.3469799757003784	6.736244808486225e-12	2.274660223632735e-13
1.351289987564087	6.481385740608747e-12	3.1084976172962575e-13
1.3555899858474731	6.185859550283945e-12	3.9069569519704916e-13
1.3598999977111816	5.952565697298073e-12	4.0772967684413186e-13
1.3641999959945679	5.965958196213483e-12	3.365321801611365e-13
1.3684899806976318	5.848768518113001e-12	1.4108409807176564e-13
1.372789978981018	5.962409819343373e-12	9.029380704499851e-14
1.377079963684082	6.1257891120769514e-12	7.662578525250568e-14
1.381369948387146	6.28444692118979e-12	9.063419909331391e-14
1.3856600522994995	6.446995281378376e-12	1.0030039000958127e-13
1.3899400234222412	6.245178419544972e-12	6.857462189237273e-14
1.394219994544983	6.207151546228085e-12	1.4802377802224792e-13
1.3984999656677246	5.97153056169919e-12	1.0318808795709705e-13
1.4027800559997559	5.8913802655768954e-12	9.743174013898334e-14
1.4070500135421753	5.7875635707527184e-12	8.752086512117674e-14
1.4113199710845947	5.68206592888032e-12	7.113220738342099e-14
1.4155800342559814	5.512479361868827e-12	3.9030570089934255e-14
1.4198399782180786	5.561209912713361e-12	6.866523408893821e-14
1.4241000413894653	5.420783613652169e-12	2.898528110779376e-14
1.4283499717712402	5.4795452029965386e-12	4.549242181421144e-14
1.4326000213623047	5.598523814681622e-12	2.132943480040797e-14
1.4368400573730469	5.680726288675997e-12	2.6448224307255158e-14
1.4410799741744995	5.715722600080353e-12	1.6050523879277724e-14
1.4453200101852417	5.83094813752516e-12	4.046083265521819e-14
1.4495500326156616	6.094116097171698e-12	4.2914307632653526e-14
1.4537800550460815	6.371869611804248e-12	2.63924048360311e-14
1.4579999446868896	6.562151429884144e-12	3.092426488493505e-14
1.4622199535369873	6.51013574645698e-12	5.769635393363878e-14
1.466439962387085	6.554594974422789e-12	1.082635771396806e-13
1.470639944076538	6.631460137962453e-12	3.653975112392037e-14
1.474850058555603	6.7253446735249245e-12	2.5052075146888945e-14
1.4790500402450562	6.8811384541789256e-12	2.289196494853745e-14
1.483240008354187	7.017331594277865e-12	2.3029702670156367e-14
1.4874299764633179	7.0597477516698426e-12	3.379721090664145e-14
1.4916199445724487	7.35803085127884e-12	2.461618013377062e-14
1.4957900047302246	7.488837674984872e-12	4.4864045340093153e-14
1.4999699592590332	7.644660078576226e-12	2.6494755215179626e-14
1.504140019416809	7.902041000706905e-12	3.324576874105638e-14
1.5082999467849731	8.128717317312795e-12	6.909223356204447e-14
1.5124599933624268	8.283298526257088e-12	3.478718235781081e-14
1.516610026359558	8.605716833587351e-12	5.224862087579128e-14
1.5207500457763672	8.78127692088837e-12	3.699118580348902e-14
1.524899959564209	8.982564692061601e-12	5.851251422403156e-14
